id,title,genres,averageRating,numVotes,releaseYear
tt5988370,Reis,"[""Biography"", ""Drama""]",1,74156,2017
tt7221896,"Cumali Ceber: Allah Seni Alsin","[""Comedy""]",1,39455,2017
tt13423846,"321 Action","[""Drama""]",1,10210,2020
tt20255706,"The Pogmentary","[""Biography"", ""Documentary"", ""Sport""]",1.1,13808,2022
tt21403988,"The Last Pharaoh","[""Documentary"", ""Drama"", ""History""]",1.1,12019,2023
tt21194980,"Golden Bull","[""Action"", ""Documentary"", ""Drama""]",1.1,11171,2022
tt7886848,"Sadak 2","[""Action"", ""Drama""]",1.2,96837,2020
tt27528139,"Queen Cleopatra","[""Documentary"", ""Drama"", ""History""]",1.2,86277,2023
tt6038600,Smolensk,"[""Drama"", ""Thriller""]",1.2,40221,2016
tt14878948,"15/07: Break of Dawn","[""Action"", ""Drama"", ""War""]",1.2,20685,2021
tt0421051,"Daniel the Wizard","[""Comedy"", ""Crime"", ""Fantasy""]",1.2,14926,2004
tt27530764,Rivals,"[""Documentary"", ""Drama"", ""History""]",1.2,10675,2023
tt8402090,"Cumali Ceber 2","[""Comedy""]",1.2,10368,2018
tt4009460,"Kirk Cameron's Saving Christmas","[""Comedy"", ""Family""]",1.3,16860,2014
tt0249516,Foodfight!,"[""Action"", ""Adventure"", ""Animation""]",1.3,12098,2012
tt1309000,Dream.net,"[""Comedy"", ""Romance"", ""Sport""]",1.3,10016,2009
tt4884540,"Angels Apocalypse","[""Action"", ""Fantasy"", ""Sci-Fi""]",1.4,42953,2015
tt14723224,"The Cost of Deception","[""Action"", ""Crime"", ""Drama""]",1.5,40614,2021
tt0270846,"Superbabies: Baby Geniuses 2","[""Comedy"", ""Family"", ""Sci-Fi""]",1.5,31790,2004
tt0808240,"Turks in Space","[""Action"", ""Comedy"", ""Sci-Fi""]",1.5,16820,2006
tt14153790,Velma,"[""Adventure"", ""Animation"", ""Comedy""]",1.6,79333,2023
tt0060666,"Manos: The Hands of Fate","[""Horror""]",1.6,37790,1966
tt3165608,"Justin Bieber's Believe","[""Documentary"", ""Music""]",1.6,17929,2013
tt1229827,"Jonas Brothers: The 3D Concert Experience","[""Biography"", ""Documentary"", ""Music""]",1.6,17555,2009
tt1702443,"Justin Bieber: Never Say Never","[""Documentary"", ""Music""]",1.7,76466,2011
tt4458206,"Code Name: K.O.Z.","[""Crime"", ""Mystery""]",1.7,27589,2015
tt1316037,"Birdemic: Shock and Terror","[""Horror"", ""Thriller""]",1.7,25800,2010
tt0417056,"Pledge This!","[""Comedy""]",1.7,18967,2006
tt12286260,"Santa Inc.","[""Animation"", ""Comedy"", ""Fantasy""]",1.7,15623,2021
tt1520498,"The Oogieloves in the Big Balloon Adventure","[""Adventure"", ""Family"", ""Fantasy""]",1.7,15492,2012
tt1640571,"Titanic II","[""Action"", ""Adventure"", ""Drama""]",1.7,13121,2010
tt0096870,"Going Overboard","[""Comedy""]",1.8,14703,1989
tt0059464,"Monster a Go-Go","[""Horror"", ""Sci-Fi""]",1.8,10106,1965
tt10888594,Radhe,"[""Action"", ""Crime"", ""Thriller""]",1.9,180234,2021
tt1213644,"Disaster Movie","[""Comedy"", ""Sci-Fi""]",1.9,95280,2008
tt7431594,"Race 3","[""Action"", ""Crime"", ""Thriller""]",1.9,48949,2018
tt0339034,"From Justin to Kelly","[""Comedy"", ""Music"", ""Musical""]",1.9,27111,2003
tt0054673,"The Beast of Yucca Flats","[""Horror"", ""Sci-Fi""]",1.9,10492,1961
tt7668842,"Enes Batur: Imagination or Reality?","[""Comedy""]",2,56193,2018
tt0804492,"The Hottie & the Nottie","[""Comedy"", ""Romance""]",2,39288,2008
tt19857862,"Now or Never!","[""Adventure"", ""Biography"", ""Drama""]",2,16381,2024
tt0317676,"House of the Dead","[""Action"", ""Adventure"", ""Horror""]",2.1,38896,2003
tt7255568,"Student of the Year 2","[""Action"", ""Comedy"", ""Drama""]",2.2,22882,2019
tt17444636,"Final Draft","[""Comedy"", ""Drama"", ""Romance""]",2.2,18999,2022
tt0193524,"The Star Wars Holiday Special","[""Adventure"", ""Family"", ""Musical""]",2.2,17253,1978
tt8366590,"Baaghi 3","[""Action"", ""Adventure"", ""Thriller""]",2.2,14138,2020
tt0089280,Hobgoblins,"[""Comedy"", ""Horror"", ""Sci-Fi""]",2.2,12586,1988
tt0362165,"Son of the Mask","[""Comedy"", ""Family"", ""Fantasy""]",2.3,60042,2005
tt1754700,"The Prototype","[""Action"", ""Sci-Fi"", ""Thriller""]",2.3,42901,2022
tt11873440,"Heropanti 2","[""Action"", ""Comedy"", ""Crime""]",2.3,27707,2022
tt0785077,"Who's Your Caddy?","[""Comedy"", ""Sport""]",2.3,15634,2007
tt0799949,"Epic Movie","[""Adventure"", ""Comedy"", ""Fantasy""]",2.4,110309,2007
tt0369226,"Alone in the Dark","[""Action"", ""Horror"", ""Sci-Fi""]",2.4,47364,2005
tt0118589,Glitter,"[""Drama"", ""Music"", ""Romance""]",2.4,24183,2001
tt6910020,"Nothing to Lose","[""Biography"", ""Drama""]",2.4,23131,2018
tt0185183,"Battlefield Earth","[""Action"", ""Adventure"", ""Sci-Fi""]",2.5,83844,2000
tt1098327,"Dragonball Evolution","[""Action"", ""Adventure"", ""Fantasy""]",2.5,80212,2009
tt10350922,Laxmii,"[""Action"", ""Comedy"", ""Horror""]",2.5,59018,2020
tt11762434,"Cosmic Sin","[""Action"", ""Sci-Fi""]",2.5,15354,2021
tt14121726,"Jeepers Creepers: Reborn","[""Horror"", ""Mystery"", ""Thriller""]",2.5,15215,2022
tt1350498,"Mega Shark vs. Giant Octopus","[""Action"", ""Adventure"", ""Comedy""]",2.5,11367,2009
tt10885444,"Khaali Peeli","[""Action"", ""Comedy"", ""Romance""]",2.5,10130,2020
tt0123366,"The View","[""Talk-Show""]",2.5,10012,1997
tt0299930,Gigli,"[""Comedy"", ""Crime"", ""Romance""]",2.6,51164,2003
tt4435072,Liger,"[""Action"", ""Drama"", ""Romance""]",2.6,47879,2022
tt0329200,"Home Alone 4: Taking Back the House","[""Comedy"", ""Crime"", ""Family""]",2.6,39992,2002
tt0118665,"Baby Geniuses","[""Comedy"", ""Crime"", ""Family""]",2.6,27819,1999
tt5013984,Gully,"[""Crime"", ""Drama""]",2.6,23073,2019
tt0116839,"Lawnmower Man 2: Beyond Cyberspace","[""Action"", ""Sci-Fi"", ""Thriller""]",2.6,10423,1995
tt12915716,Adipurush,"[""Action"", ""Adventure"", ""Drama""]",2.7,134356,2023
tt2574698,Gunday,"[""Action"", ""Drama"", ""Musical""]",2.7,60486,2014
tt1725047,"My Little Princess","[""Drama"", ""Family"", ""Romance""]",2.7,43593,2010
tt12996154,"365 Days: This Day","[""Drama"", ""Romance""]",2.7,25205,2022
tt1883367,"The Human Centipede III (Final Sequence)","[""Comedy"", ""Horror""]",2.7,20445,2015
tt1572311,"Tees Maar Khan","[""Comedy"", ""Crime""]",2.7,14615,2010
tt0058548,"Santa Claus Conquers the Martians","[""Adventure"", ""Comedy"", ""Family""]",2.7,12757,1964
tt1127884,"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert","[""Documentary"", ""Music""]",2.7,12206,2008
tt0896036,"BloodRayne: Deliverance","[""Action"", ""Fantasy"", ""Western""]",2.7,11672,2007
tt1716747,"Hellraiser: Revelations","[""Horror""]",2.7,10156,2011
tt1073498,"Meet the Spartans","[""Comedy"", ""Fantasy""]",2.8,112308,2008
tt0466342,"Date Movie","[""Comedy"", ""Romance""]",2.8,62625,2006
tt5697572,Cats,"[""Comedy"", ""Drama"", ""Family""]",2.8,56654,2019
tt9096108,Rasbhari,"[""Drama"", ""Romance""]",2.8,15786,2019
tt4867110,Swiped,"[""Comedy"", ""Romance""]",2.8,12860,2018
tt21106646,"The Next 365 Days","[""Drama"", ""Romance""]",2.8,10635,2022
tt0110169,"It's Pat: The Movie","[""Comedy""]",2.8,10566,1994
tt13334578,Ganapath,"[""Action"", ""Drama"", ""Sci-Fi""]",2.8,10361,2023
tt1086761,"Keeping Up with the Kardashians","[""Family"", ""Reality-TV""]",2.9,31701,2007
tt19623240,"Winnie-the-Pooh: Blood and Honey","[""Horror""]",2.9,31298,2023
tt9820556,Breach,"[""Action"", ""Horror"", ""Sci-Fi""]",2.9,20207,2020
tt9624766,"Jiu Jitsu","[""Action"", ""Sci-Fi"", ""Thriller""]",2.9,10659,2020
tt0101615,"Cool as Ice","[""Comedy"", ""Drama"", ""Music""]",2.9,10566,1991
tt0093300,"Jaws: The Revenge","[""Adventure"", ""Horror"", ""Thriller""]",3,50611,1987
tt0383222,BloodRayne,"[""Action"", ""Fantasy"", ""Horror""]",3,37517,2005
tt0105643,"Troll 2","[""Comedy"", ""Fantasy"", ""Horror""]",3,35246,1990
tt7059844,"Dabangg 3","[""Action"", ""Comedy"", ""Crime""]",3,20541,2019
tt0120207,Steel,"[""Action"", ""Adventure"", ""Crime""]",3,15275,1997
tt0118539,"3 Ninjas: High Noon at Mega Mountain","[""Action"", ""Adventure"", ""Comedy""]",3,12528,1998
tt15281656,"The Holy Trinity","[""Horror""]",3,12287,2023
tt0353324,"The Crow: Wicked Prayer","[""Action"", ""Adventure"", ""Comedy""]",3,10042,2005
tt0299981,"Highlander: The Source","[""Action"", ""Adventure"", ""Drama""]",3,10015,2007
tt2467046,"Left Behind","[""Action"", ""Fantasy"", ""Sci-Fi""]",3.1,43074,2014
tt0246894,Rollerball,"[""Action"", ""Sci-Fi"", ""Sport""]",3.1,29980,2002
tt0116756,Kazaam,"[""Comedy"", ""Family"", ""Fantasy""]",3.1,25932,1996
tt0804452,Bratz,"[""Comedy"", ""Family"", ""Music""]",3.1,25077,2007
tt11656172,"Hard Kill","[""Action"", ""Thriller""]",3.1,19603,2020
tt2610768,"Celal and Ceren","[""Comedy"", ""Romance""]",3.2,43965,2013
tt2403029,"The Starving Games","[""Adventure"", ""Comedy"", ""Sci-Fi""]",3.2,22866,2013
tt0462244,"Daddy Day Camp","[""Comedy"", ""Family""]",3.2,18123,2007
tt0103923,"Captain America","[""Action"", ""Adventure"", ""Sci-Fi""]",3.2,15361,1990
tt0400426,"Far Cry","[""Action"", ""Adventure"", ""Sci-Fi""]",3.2,15125,2008
tt0499487,"Goal! III","[""Drama"", ""Romance"", ""Sport""]",3.2,13199,2009
tt0110647,"The NeverEnding Story III","[""Adventure"", ""Comedy"", ""Family""]",3.2,12609,1994
tt1619880,Sharktopus,"[""Action"", ""Adventure"", ""Comedy""]",3.2,11941,2010
tt6616074,"Amy Schumer: The Leather Special","[""Comedy""]",3.2,10667,2017
tt10886166,"365 Days","[""Drama"", ""Romance""]",3.3,100866,2020
tt0810913,"Jack and Jill","[""Comedy""]",3.3,91656,2011
tt2724064,Sharknado,"[""Action"", ""Adventure"", ""Comedy""]",3.3,53732,2013
tt5690360,"Slender Man","[""Horror"", ""Mystery"", ""Thriller""]",3.3,39449,2018
tt7608028,"The Open House","[""Horror"", ""Thriller""]",3.3,37629,2018
tt0110978,"Texas Chainsaw Massacre: The Next Generation","[""Comedy"", ""Horror"", ""Thriller""]",3.3,26664,1994
tt0065832,"Hercules in New York","[""Adventure"", ""Comedy"", ""Fantasy""]",3.3,19861,1970
tt5842616,"Veere Di Wedding","[""Comedy""]",3.3,13331,2018
tt1411664,"Bucky Larson: Born to Be a Star","[""Comedy""]",3.3,13009,2011
tt7851428,"First Signal","[""Drama"", ""Sci-Fi""]",3.3,12137,2021
tt0327554,Catwoman,"[""Action"", ""Crime"", ""Fantasy""]",3.4,127387,2004
tt4877122,"The Emoji Movie","[""Adventure"", ""Animation"", ""Comedy""]",3.4,73303,2017
tt1666186,"Vampires Suck","[""Comedy"", ""Horror""]",3.4,52268,2010
tt0329028,"Dumb and Dumberer: When Harry Met Lloyd","[""Comedy""]",3.4,42941,2003
tt0295427,"The Master of Disguise","[""Adventure"", ""Comedy"", ""Family""]",3.4,27677,2002
tt0295254,Feardotcom,"[""Crime"", ""Horror"", ""Thriller""]",3.4,22979,2002
tt6439558,"Recep Ivedik 5","[""Comedy""]",3.4,18331,2017
tt10739666,"Satyameva Jayate 2","[""Action"", ""Crime"", ""Drama""]",3.4,16192,2021
tt10930586,Shikara,"[""Drama"", ""History"", ""Romance""]",3.4,15505,2020
tt0095560,"Mac and Me","[""Adventure"", ""Comedy"", ""Family""]",3.4,14799,1988
tt0469111,"I'll Always Know What You Did Last Summer","[""Horror"", ""Mystery"", ""Thriller""]",3.4,13755,2006
tt1594972,"Norm of the North","[""Adventure"", ""Animation"", ""Comedy""]",3.4,10272,2016
tt0795461,"Scary Movie V","[""Comedy"", ""Horror""]",3.5,78463,2013
tt0110857,"Police Academy: Mission to Moscow","[""Comedy"", ""Crime""]",3.5,36662,1994
tt6990206,Crimea,"[""Action"", ""Drama""]",3.5,33637,2017
tt0115624,"Barb Wire","[""Action"", ""Sci-Fi""]",3.5,31679,1996
tt0372873,"Dragon Wars: D-War","[""Action"", ""Drama"", ""Fantasy""]",3.5,25524,2007
tt4667094,"Fifty Shades of Black","[""Comedy""]",3.5,23577,2016
tt10481868,"Black Christmas","[""Horror"", ""Mystery"", ""Thriller""]",3.5,19449,2019
tt3138104,"The Hungover Games","[""Adventure"", ""Comedy"", ""Fantasy""]",3.5,17200,2014
tt12335692,"Last Man Down","[""Action"", ""Sci-Fi""]",3.5,14129,2021
tt0157262,"2001: A Space Travesty","[""Comedy"", ""Sci-Fi""]",3.5,13066,2000
tt2308733,"Home Alone: The Holiday Heist","[""Comedy"", ""Crime"", ""Family""]",3.5,12889,2012
tt0094118,"Teen Wolf Too","[""Comedy"", ""Fantasy""]",3.5,12652,1987
tt3053228,"Day of the Dead: Bloodline","[""Action"", ""Drama"", ""Horror""]",3.5,12592,2017
tt0462395,"Larry the Cable Guy: Health Inspector","[""Comedy"", ""Romance""]",3.5,12556,2006
tt8923396,Jinn,"[""Drama"", ""Fantasy"", ""Horror""]",3.5,10584,2019
tt0368226,"The Room","[""Drama""]",3.6,96293,2003
tt0119707,"Mortal Kombat: Annihilation","[""Action"", ""Adventure"", ""Fantasy""]",3.6,58860,1997
tt8712204,Batwoman,"[""Action"", ""Adventure"", ""Crime""]",3.6,46806,2019
tt9196192,Cuties,"[""Drama""]",3.6,32841,2020
tt0897361,"I Know Who Killed Me","[""Horror"", ""Mystery"", ""Thriller""]",3.6,31200,2007
tt1517489,"Spy Kids 4: All the Time in the World","[""Action"", ""Adventure"", ""Comedy""]",3.6,28940,2011
tt0367093,"Starship Troopers 2: Hero of the Federation","[""Action"", ""Adventure"", ""Horror""]",3.6,24738,2004
tt11012066,"Home Sweet Home Alone","[""Comedy"", ""Crime"", ""Family""]",3.6,20709,2021
tt13439476,Kaamraj,"[""Drama""]",3.6,19145,2020
tt0291502,"Swept Away","[""Comedy"", ""Romance""]",3.6,18115,2002
tt6988116,Kalank,"[""Drama"", ""Romance""]",3.6,17267,2019
tt1185266,"Stan Helsing","[""Comedy"", ""Fantasy"", ""Horror""]",3.6,15124,2009
tt1231277,"S. Darko","[""Drama"", ""Mystery"", ""Sci-Fi""]",3.6,14609,2009
tt7721946,"Housefull 4","[""Action"", ""Comedy"", ""Drama""]",3.6,14527,2019
tt27785645,"Episode #1.7","[""Comedy"", ""Drama"", ""Romance""]",3.6,14465,2023
tt1153706,"Dance Flick","[""Action"", ""Comedy"", ""Music""]",3.6,12855,2009
tt5456546,"Judwaa 2","[""Action"", ""Comedy"", ""Romance""]",3.6,11900,2017
tt7312940,Singularity,"[""Action"", ""Adventure"", ""Drama""]",3.6,11746,2017
tt30007864,"The American Society of Magical Negroes","[""Comedy"", ""Fantasy""]",3.6,10811,2024
tt9592496,Pogaru,"[""Action""]",3.6,10365,2021
tt0094074,"Superman IV: The Quest for Peace","[""Action"", ""Adventure"", ""Sci-Fi""]",3.7,53719,1987
tt0085750,"Jaws 3-D","[""Adventure"", ""Horror"", ""Thriller""]",3.7,49434,1983
tt0432291,"The Fog","[""Horror"", ""Mystery""]",3.7,39749,2005
tt0120185,"Spice World","[""Comedy"", ""Family"", ""Music""]",3.7,38198,1997
tt0190374,"Dungeons & Dragons","[""Action"", ""Adventure"", ""Fantasy""]",3.7,36626,2000
tt0158622,"The Flintstones in Viva Rock Vegas","[""Comedy"", ""Family"", ""Romance""]",3.7,25879,2000
tt15387026,Destiny,"[""Action"", ""Adventure"", ""Drama""]",3.7,25857,2024
tt0891592,"Street Fighter: The Legend of Chun-Li","[""Action"", ""Crime"", ""Fantasy""]",3.7,25565,2009
tt0308208,"Ballistic: Ecks vs. Sever","[""Action"", ""Crime"", ""Mystery""]",3.7,21244,2002
tt0283877,"American Psycho II: All American Girl","[""Horror"", ""Thriller""]",3.7,18342,2002
tt1091617,"Expelled: No Intelligence Allowed","[""Documentary""]",3.7,12215,2008
tt0806147,"Extreme Movie","[""Comedy""]",3.7,11651,2008
tt0800003,"Delta Farce","[""Action"", ""Adventure"", ""Comedy""]",3.7,11568,2007
tt3832096,"Cabin Fever","[""Horror"", ""Sci-Fi"", ""Thriller""]",3.7,11365,2016
tt0120389,"Turbo: A Power Rangers Movie","[""Action"", ""Adventure"", ""Family""]",3.7,10054,1997
tt0118688,"Batman & Robin","[""Action"", ""Sci-Fi""]",3.8,271580,1997
tt0450345,"The Wicker Man","[""Horror"", ""Mystery"", ""Thriller""]",3.8,72346,2006
tt0811138,"The Love Guru","[""Comedy"", ""Romance"", ""Sport""]",3.8,55446,2008
tt0460780,"In the Name of the King: A Dungeon Siege Tale","[""Action"", ""Adventure"", ""Fantasy""]",3.8,51586,2007
tt1714203,"Piranha 3DD","[""Comedy"", ""Horror"", ""Sci-Fi""]",3.8,46082,2012
tt0118661,"The Avengers","[""Action"", ""Adventure"", ""Sci-Fi""]",3.8,45843,1998
tt0275022,Crossroads,"[""Comedy"", ""Drama"", ""Romance""]",3.8,45030,2002
tt1530509,"The Human Centipede 2 (Full Sequence)","[""Horror""]",3.8,44112,2011
tt0424774,"The Adventures of Sharkboy and Lavagirl 3-D","[""Action"", ""Adventure"", ""Comedy""]",3.8,43351,2005
tt0076009,"Exorcist II: The Heretic","[""Horror""]",3.8,29000,1977
tt3477064,"Recep Ivedik 4","[""Comedy""]",3.8,18834,2014
tt0094824,"Caddyshack II","[""Comedy"", ""Sport""]",3.8,16674,1988
tt21279138,"Maid in Malacañang","[""Biography"", ""Drama""]",3.8,15741,2022
tt1104123,"The Scorpion King 2: Rise of a Warrior","[""Action"", ""Adventure"", ""Fantasy""]",3.8,14862,2008
tt7897330,"Deadly Illusions","[""Crime"", ""Drama"", ""Mystery""]",3.8,13902,2021
tt4059702,AmeriGeddon,"[""Action"", ""Adventure"", ""Drama""]",3.8,13388,2016
tt1552211,"The Last Days of American Crime","[""Action"", ""Crime"", ""Drama""]",3.8,12557,2020
tt10598156,Dhaakad,"[""Action"", ""Thriller""]",3.8,12151,2022
tt2292959,"The Canyons","[""Drama"", ""Thriller""]",3.8,12058,2013
tt0489598,"The Hills","[""Reality-TV""]",3.8,11616,2006
tt8328716,"Doom: Annihilation","[""Action"", ""Adventure"", ""Horror""]",3.8,10584,2019
tt0107612,"Mr. Nanny","[""Action"", ""Comedy"", ""Family""]",3.8,10338,1993
tt0082910,"Piranha II: The Spawning","[""Horror"", ""Sci-Fi"", ""Thriller""]",3.8,10133,1982
tt0120179,"Speed 2: Cruise Control","[""Action"", ""Adventure"", ""Crime""]",3.9,87081,1997
tt0220506,"Halloween: Resurrection","[""Horror"", ""Thriller""]",3.9,50307,2002
tt0052077,"Plan 9 from Outer Space","[""Horror"", ""Sci-Fi""]",3.9,41006,1957
tt1255919,"Holmes & Watson","[""Comedy"", ""Crime"", ""Mystery""]",3.9,39990,2018
tt0926129,"Prom Night","[""Horror""]",3.9,38556,2008
tt6513656,"Escape Plan 2: Hades","[""Action"", ""Crime"", ""Mystery""]",3.9,35962,2018
tt0365957,"You Got Served","[""Drama"", ""Music""]",3.9,28812,2004
tt0180052,"The Adventures of Pluto Nash","[""Action"", ""Comedy"", ""Sci-Fi""]",3.9,27303,2002
tt1014775,"Beverly Hills Chihuahua","[""Adventure"", ""Comedy"", ""Drama""]",3.9,26246,2008
tt1139592,"Jeepers Creepers III","[""Horror""]",3.9,24979,2017
tt1563069,"Jersey Shore","[""Comedy"", ""Reality-TV"", ""Romance""]",3.9,24703,2009
tt0433412,"Material Girls","[""Comedy"", ""Family"", ""Romance""]",3.9,22838,2006
tt5882970,Tubelight,"[""Drama"", ""War""]",3.9,22018,2017
tt1656171,Dam999,"[""Adventure"", ""Drama"", ""Sci-Fi""]",3.9,20749,2011
tt0492389,"Furry Vengeance","[""Comedy"", ""Family""]",3.9,18487,2010
tt7510346,"The Turning","[""Drama"", ""Horror"", ""Mystery""]",3.9,16530,2020
tt14865406,"Deep Fear","[""Action"", ""Horror"", ""Thriller""]",3.9,15532,2023
tt0106761,"Double Dragon","[""Action"", ""Adventure"", ""Comedy""]",3.9,14074,1994
tt1712159,11-11-11,"[""Horror"", ""Mystery"", ""Thriller""]",3.9,12648,2011
tt1273221,"London Fields","[""Crime"", ""Mystery"", ""Thriller""]",3.9,12482,2018
tt0160236,"Dudley Do-Right","[""Comedy"", ""Family"", ""Romance""]",3.9,11500,1999
tt11771594,"American Pie Presents: Girls' Rules","[""Comedy"", ""Romance""]",3.9,11233,2020
tt2364897,"The Disappointments Room","[""Drama"", ""Horror"", ""Thriller""]",3.9,10611,2016
tt1045655,"The Haunting of Molly Hartley","[""Drama"", ""Horror"", ""Thriller""]",3.9,10218,2008
tt6027920,"The Iron Throne","[""Action"", ""Adventure"", ""Drama""]",4,267479,2019
tt0938283,"The Last Airbender","[""Action"", ""Adventure"", ""Family""]",4,176652,2010
tt11057302,"Madame Web","[""Action"", ""Adventure"", ""Sci-Fi""]",4,89648,2024
tt3679040,"Kisi Ka Bhai Kisi Ki Jaan","[""Action"", ""Comedy"", ""Drama""]",4,41206,2023
tt0229260,"Book of Shadows: Blair Witch 2","[""Adventure"", ""Fantasy"", ""Horror""]",4,40540,2000
tt18072316,"Bade Miyan Chote Miyan","[""Action"", ""Adventure"", ""Sci-Fi""]",4,38332,2024
tt0479968,"One Missed Call","[""Horror"", ""Mystery""]",4,34353,2008
tt3062074,"Sharknado 2: The Second One","[""Action"", ""Adventure"", ""Comedy""]",4,20830,2014
tt10230426,"Mrs. Serial Killer","[""Crime"", ""Drama"", ""Thriller""]",4,19198,2020
tt2034139,"The Last Exorcism Part II","[""Horror"", ""Thriller""]",4,17153,2013
tt8066940,"Indian 2","[""Action"", ""Drama"", ""Thriller""]",4,15494,2024
tt8907992,"The Girl on the Train","[""Crime"", ""Drama"", ""Mystery""]",4,15129,2021
tt4600952,"The Guardians","[""Action"", ""Adventure"", ""Comedy""]",4,14732,2017
